current_positions,target_positions,action_times
0.002889329943558202,0.2,0.009254693984985352
0.0028871628720299443,0.2,0.009839534759521484
0.0029280355244698936,0.2,0.00915384292602539
0.004170859453457313,0.2,0.009392261505126953
0.007772813946568556,0.2,0.009544134140014648
0.012213184490226195,0.2,0.009139537811279297
0.017002908103472814,0.2,0.009142398834228516
0.02272221490849339,0.2,0.009269952774047852
0.03161433174376785,0.2,0.009165048599243164
0.0406066771286604,0.2,0.00916147232055664
0.0490317281166694,0.2,0.009273767471313477
0.05572939509389779,0.2,0.009645223617553711
0.06119016773578321,0.2,0.009195327758789062
0.06636025879345545,0.2,0.009147882461547852
0.07063832653734087,0.2,0.009338140487670898
0.07309706161614668,0.2,0.009241104125976562
0.07343901475237768,0.2,0.009462833404541016
0.07258429200133966,0.2,0.009263753890991211
0.07368089270358603,0.2,0.00933694839477539
0.0767184082957224,0.2,0.009148120880126953
