current_positions,target_positions,action_times
0.0013385597627217833,0.5,0.009188413619995117
0.0013421790414538822,0.5,0.009230613708496094
0.0013402301985770465,0.5,0.009266376495361328
0.0013483437931648004,0.5,0.009210348129272461
0.00259146825676223,0.5,0.009388208389282227
0.005809912958655201,0.5,0.009763002395629883
0.010119405473724027,0.5,0.009459972381591797
0.015432066837455771,0.5,0.009190559387207031
0.021181232165235066,0.5,0.009187698364257812
0.03009612300348246,0.5,0.009248018264770508
0.040327356806724786,0.5,0.009411811828613281
0.05088350044500844,0.5,0.00914454460144043
0.0623434444459676,0.5,0.009671449661254883
0.0793794383704504,0.5,0.009351491928100586
0.0952278276846481,0.5,0.009156465530395508
0.11271340340877538,0.5,0.009433269500732422
0.13197353644160773,0.5,0.009177923202514648
0.15281764489838187,0.5,0.009570598602294922
0.1738187582763694,0.5,0.00925898551940918
0.19449421161326508,0.5,0.009223461151123047
