current_positions,target_positions,action_times
0.0013490586957794017,0.5,0.010526657104492188
0.0013489706940284737,0.5,0.010425329208374023
0.0013456298221523589,0.5,0.01045083999633789
0.0013489706938628826,0.5,0.01080632209777832
0.0013456298221523563,0.5,0.010202646255493164
0.0013473002580076195,0.5,0.01019597053527832
0.0013473031805804724,0.5,0.010181903839111328
0.0013473002580241173,0.5,0.010185718536376953
0.0013456298221523565,0.5,0.010256290435791016
0.0013439177087223118,0.5,0.010195493698120117
0.0013509195370303615,0.5,0.01036977767944336
0.0013473002580076268,0.5,0.010312080383300781
0.0013456298221523563,0.5,0.01043558120727539
0.0013473002580076195,0.5,0.010564327239990234
0.0013456298221523563,0.5,0.010410785675048828
0.0013473002580076195,0.5,0.010527849197387695
0.0013473002580076195,0.5,0.010471582412719727
0.0013473002580076195,0.5,0.010224103927612305
0.0013473002580076195,0.5,0.010812520980834961
0.0013473002580076195,0.5,0.010281562805175781
