current_positions,target_positions,action_times
0.00011556585486900352,0.200115565854869,0.010396957397460938
0.00012732544016641953,0.20012732544016643,0.010237932205200195
0.00015248196856134587,0.20015248196856136,0.010103464126586914
0.0018726825079363675,0.20187268250793639,0.010149717330932617
0.00498224498319428,0.20498224498319428,0.010198354721069336
0.009836101445143394,0.20983610144514342,0.010277986526489258
0.015957619689976162,0.21595761968997618,0.010181665420532227
0.022917959733328358,0.22291795973332837,0.010167598724365234
0.032642824470342245,0.23264282447034226,0.010584592819213867
0.04379381112982087,0.24379381112982088,0.010171175003051758
0.052423964246889325,0.25242396424688934,0.010169029235839844
0.05860179306785579,0.2586017930678558,0.010180234909057617
0.06419525202376827,0.26419525202376826,0.010173559188842773
0.07020665942177946,0.27020665942177946,0.010333538055419922
0.07354228836098453,0.27354228836098454,0.010587453842163086
0.07681091310274815,0.2768109131027482,0.010195016860961914
0.08176322469510412,0.2817632246951041,0.010236024856567383
0.08723355842514394,0.287233558425144,0.010155677795410156
0.09595164824984206,0.2959516482498421,0.010195493698120117
0.10520020601405099,0.305200206014051,0.010140180587768555
